Title,Opening Date,Closing Date,Days Played,Company,Series,Category,Year,Season,Notes,Lost,Country,Genre
Drug War,2013-09-20,2013-09-26,7,Belcourt Theatre,,Film,2013,,,,,
Blue Caprice,2013-09-27,2013-10-03,7,Belcourt Theatre,,Film,2013,,,,,
Mother of George,2013-09-27,2013-10-03,7,Belcourt Theatre,,Film,2013,,,,,
Escape From New York,2013-09-27,2013-09-28,2,Belcourt Theatre,,Film,2013,,,,,
Crimes and Misdemeanors,2013-09-28,2013-09-29,2,Belcourt Theatre,,Film,2013,,,,,
The Trials of Muhammad Ali,2013-10-04,2013-10-10,7,Belcourt Theatre,,Film,2013,,,,,
Inequality for All,2013-10-04,2013-10-24,21,Belcourt Theatre,,Film,2013,,,,,
Rosemary's Baby (Double Feature),2013-10-04,2013-10-05,2,Belcourt Theatre,,Film,2013,,,,,
Let's Scare Jessica to Death (Double Feature),2013-10-04,2013-10-05,2,Belcourt Theatre,,Film,2013,,,,,
The Tingler,2013-10-05,2013-10-06,2,Belcourt Theatre,,Film,2013,,,,,
Band of Sisters,2013-10-06,2013-10-08,3,Belcourt Theatre,,Film,2013,,,,,
Deceptive Practice: The Mysteries and Mentors,2013-10-08,2013-10-09,2,Belcourt Theatre,,Film,2013,,,,,
Terms and Conditions May Apply,2013-10-09,2013-10-10,2,Belcourt Theatre,,Film,2013,,,,,
Deep Red (Double Feature),2013-10-11,2013-10-11,1,Belcourt Theatre,,Film,2013,,,,,
The Gates of Hell (Double Feature),2013-10-11,2013-10-11,1,Belcourt Theatre,,Film,2013,,,,,
Cutie and the Boxer,2013-10-11,2013-10-16,6,Belcourt Theatre,,Film,2013,,,,,
Muscle Shoals,2013-10-11,2013-11-14,35,Belcourt Theatre,,Film,2013,,,,,
Creepers (Double Feature),2013-10-12,2013-10-12,1,Belcourt Theatre,,Film,2013,,,,,
Shakma (Double Feature),2013-10-12,2013-10-12,1,Belcourt Theatre,,Film,2013,,,,,
Theatre of Blood,2013-10-12,2013-10-13,2,Belcourt Theatre,,Film,2013,,,,,
He Who Gets Slapped with Alloy Orchestra,2013-10-13,2013-10-13,1,Belcourt Theatre,,Film,2013,,,,,
Janel Shabazz: Street Photographer,2013-10-13,2013-10-17,5,Belcourt Theatre,,Film,2013,,,,,
The Wicker Man - The Final Cut,2013-10-18,2013-10-19,2,Belcourt Theatre,,Film,2013,,,,,
Portrait of Jason,2013-10-18,2013-10-23,6,Belcourt Theatre,,Film,2013,,,,,
The Summit,2013-10-18,2013-10-26,9,Belcourt Theatre,,Film,2013,,,,,
The Masque of the Red Death,2013-10-19,2013-10-20,2,Belcourt Theatre,,Film,2013,,,,,
The Muslims are Coming!,2013-10-19,2013-10-21,3,Belcourt Theatre,,Film,2013,,,,,
Wild Style,2013-10-20,2013-10-23,4,Belcourt Theatre,,Film,2013,,,,,
Chopping Mall (Double Feature),2013-10-25,2013-10-25,1,Belcourt Theatre,,Film,2013,,,,,
Basketcase (Double Feature),2013-10-25,2013-10-25,1,Belcourt Theatre,,Film,2013,,,,,
Evilspeak (Double Feature),2013-10-26,2013-10-26,1,Belcourt Theatre,,Film,2013,,,,,
The Craft (Double Feature),2013-10-26,2013-10-26,1,Belcourt Theatre,,Film,2013,,,,,
God Loves Uganda,2013-10-25,2013-10-31,7,Belcourt Theatre,,Film,2013,,,,,
House of Wax,2013-10-26,2013-10-27,2,Belcourt Theatre,,Film,2013,,,,,
Let the Fire Burn,2013-10-27,2013-10-29,3,Belcourt Theatre,,Film,2013,,,,,
Le Joli Mai,2013-10-27,2013-10-30,4,Belcourt Theatre,,Film,2013,,,,,
Escape from Tomorrow,2013-10-30,2013-11-04,6,Belcourt Theatre,,Film,2013,,,,,
The Rocky Horror Picture Show,2013-10-31,2013-11-02,3,Belcourt Theatre,,Film,2013,,,,,
Wadjda,2013-11-01,2013-11-14,14,Belcourt Theatre,,Film,2013,,,,,
The Stone Roses: Made of Stone,2013-11-06,2013-11-07,2,Belcourt Theatre,,Film,2013,,,,,
The Servant,2013-11-08,2013-11-10,3,Belcourt Theatre,,Film,2013,,,,,
The Visitor,2013-11-08,2013-11-16,9,Belcourt Theatre,,Film,2013,,,,,
All is Lost,2013-11-08,2013-12-19,42,Belcourt Theatre,,Film,2013,,,,,
Samurai Cop,2013-11-15,2013-11-16,2,Belcourt Theatre,,Film,2013,,,,,
Blue is the Warmest Color,2013-11-15,2013-12-04,20,Belcourt Theatre,,Film,2013,,,,,
Seventeen,2013-11-21,2013-11-21,1,Belcourt Theatre,The Light and Sound Machine at Third Man Records,Film,2013,,,,,
Tremors,2013-11-22,2013-11-23,2,Belcourt Theatre,,Film,2013,,,,,
Lola,2013-11-22,2013-11-29,8,Belcourt Theatre,The Films of Jacque Demy,Film,2013,,,,,
Bay of Angels,2013-11-23,2013-11-29,7,Belcourt Theatre,The Films of Jacque Demy,Film,2013,,,,,
A Slightly Pregnant Man,2013-11-24,2013-11-30,7,Belcourt Theatre,The Films of Jacque Demy,Film,2013,,,,,
Model Shop,2013-11-24,2013-12-09,16,Belcourt Theatre,The Films of Jacque Demy,Film,2013,,,,,
A Room in Town,2013-11-24,2013-11-30,7,Belcourt Theatre,The Films of Jacque Demy,Film,2013,,,,,
The Pied Piper,2013-11-25,2013-11-25,1,Belcourt Theatre,The Films of Jacque Demy,Film,2013,,,,,
Jacquot de Nantes,2013-11-26,2013-11-26,1,Belcourt Theatre,The Films of Jacque Demy,Film,2013,,,,,
Donkey Skin,2013-11-27,2013-11-30,4,Belcourt Theatre,The Films of Jacque Demy,Film,2013,,,,,
The Young Girls of Rochefort,2013-11-28,2013-12-01,4,Belcourt Theatre,The Films of Jacque Demy,Film,2013,,,,,
The Umbrellas of Cherbourg,2013-11-28,2013-12-08,11,Belcourt Theatre,The Films of Jacque Demy,Film,2013,,,,,
Addams Family Values,2013-11-29,2013-11-30,2,Belcourt Theatre,,Film,2013,,,,,
The Motel Life,2013-11-29,2013-12-04,6,Belcourt Theatre,,Film,2013,,,,,
Blood Simple,2013-12-06,2013-12-12,7,Belcourt Theatre,The Coen Brothers: 30 Years,Film,2013,,,,,
Raising Arizona,2013-12-06,2013-12-12,7,Belcourt Theatre,The Coen Brothers: 30 Years,Film,2013,,,,,
Narco Cultura,2013-12-06,2013-12-16,11,Belcourt Theatre,,Film,2013,,,,,
Barton Fink,2013-12-07,2013-12-10,4,Belcourt Theatre,The Coen Brothers: 30 Years,Film,2013,,,,,
